#displayName,widgetUrl,imageUrl,imageUrlSmall,width,height,singleton(true|false),background(true|false),visible(true|false),WIDGET_GUID ,WIDGET_VERSION ,UNIVERSAL_NAME ,DESCRIPTOR_URL ,DESCRIPTION ,assign,assignName,
Single Commander, https://localhost:9443/SingleCommander/ColorCommander.html, https://localhost:9443/SingleCommander/colorimage.png, https://localhost:9443/SingleCommander/colorimage.png,500,500,FALSE,FALSE,TRUE,,1.0,org.owfgoss.owf.examples.SingleCommander,,,groups,OWF Administrators,OWF Users
Single Comparison, https://localhost:9443/SingleCommander/ColorComparison.html, https://localhost:9443/SingleCommander/colorimage.png, https://localhost:9443/SingleCommander/colorimage.png,500,500,FALSE,FALSE,TRUE,,1.0,org.owfgoss.owf.examples.SingleComparison,,,groups,OWF Administrators,OWF Users
Single Display1, https://localhost:9443/SingleCommander/Color1Display.html, https://localhost:9443/SingleCommander/colorimage.png, https://localhost:9443/SingleCommander/colorimage.png,500,500,FALSE,FALSE,TRUE,,1.0,org.owfgoss.owf.examples.SingleDisplay1,,,groups,OWF Administrators,OWF Users
Single Display2, https://localhost:9443/SingleCommander/Color2Display.html, https://localhost:9443/SingleCommander/colorimage.png, https://localhost:9443/SingleCommander/colorimage.png,500,500,FALSE,FALSE,TRUE,,1.0,org.owfgoss.owf.examples.SingleDisplay2,,,groups,OWF Administrators,OWF Users
Shared Commander, https://localhost:9443/SharedCommander/ColorPicker.html, https://localhost:9443/SharedCommander/colorimage.png, https://localhost:9443/SharedCommander/colorimage.png,500,500,FALSE,FALSE,TRUE,,1.0,org.owfgoss.owf.examples.SharedCommander,,,groups,OWF Administrators,OWF Users
Shared Comparison, https://localhost:9443/SharedCommander/ColorComparison.html, https://localhost:9443/SharedCommander/colorimage.png, https://localhost:9443/SharedCommander/colorimage.png,500,500,FALSE,FALSE,TRUE,,1.0,org.owfgoss.owf.examples.SharedComparison,,,groups,OWF Administrators,OWF Users
Shared Display1, https://localhost:9443/SharedCommander/Color1Display.html, https://localhost:9443/SharedCommander/colorimage.png, https://localhost:9443/SharedCommander/colorimage.png,500,500,FALSE,FALSE,TRUE,,1.0,org.owfgoss.owf.examples.SharedDisplay1,,,groups,OWF Administrators,OWF Users
Shared Display2, https://localhost:9443/SharedCommander/Color2Display.html, https://localhost:9443/SharedCommander/colorimage.png, https://localhost:9443/SharedCommander/colorimage.png,500,500,FALSE,FALSE,TRUE,,1.0,org.owfgoss.owf.examples.SharedDisplay2,,,groups,OWF Administrators,OWF Users
