#displayName,widgetUrl,imageUrl,imageUrlSmall,width,height,singleton(true|false),background(true|false),visible(true|false),WIDGET_GUID ,WIDGET_VERSION ,UNIVERSAL_NAME ,DESCRIPTOR_URL ,DESCRIPTION ,assign,assignName,
World Wind Map,https://localhost:9443/worldwind-widget/widget/worldwind.html,https://localhost:9443/worldwind-widget/resources/images/worldwindlogo.png,https://localhost:9443/worldwind-widget/resources/images/worldwindlogo.png,650,500,FALSE,FALSE,TRUE,,1.0,World Wind Map,,,groups,OWF Administrators,OWF Users
City List,https://localhost:9443/worldwind-widget/widget/controller.html,https://localhost:9443/worldwind-widget/resources/images/worldwindlogo.png,https://localhost:9443/worldwind-widget/resources/images/worldwindlogo.png,650,500,FALSE,FALSE,TRUE,,1.0,City List,,,groups,OWF Administrators,OWF Users
CAS Base,https://localhost:9443/cas-base/index.jsp,images/blue/icons/widgetIcons/widget4.gif,images/blue/icons/widgetContainer/widget4sm.gif,450,350,FALSE,FALSE,TRUE,,1.0,CAS Base,,,groups,OWF Administrators,OWF Users
